Month,Week,Day of week,Channel Group,Description EN,Typol,Time slot,Time start,Male-Rating%,Male-Share,Female-Rating%,Female-Share,4-9-Rating%,4-9-Share,10-14-Rating%,10-14-Share,15-19-Rating%,15-19-Share,20-29-Rating%,20-29-Share,30-39-Rating%,30-39-Share,40-49-Rating%,40-49-Share,50-64-Rating%,50-64-Share,65+-Rating%,65+-Share,Mitrovica-Rating%,Mitrovica-Share,Gjilan-Rating%,Gjilan-Share,Peje-Rating%,Peje-Share,Prizren-Rating%,Prizren-Share,Prizren-Rating%,Prizren-Share,Ferizaj-Rating%,Ferizaj-Share,Pristina-Rating%,Pristina-Share
March,Week 9,Monday,T7 Group,Marketing,Reklama,02:00:00-26:00:00,13:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,Week 9,Monday,T7 Group,Marketing,Reklama,02:00:00-26:00:00,15:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,Week 9,Monday,T7 Group,Marketing,Reklama,02:00:00-26:00:00,15:30:00,0,0,0.28,1.6,0,0,0,0,0,0,0,0,0,0,0,0,1.12,3.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,4.58
March,Week 9,Monday,T7 Group,Marketing,Reklama,02:00:00-26:00:00,16:40:00,0.14,0.53,0.03,0.14,0,0,0,0,0,0,0,0,0.32,1.34,0.01,0.02,0.26,0.78,0.01,0.04,0,0,0,0,0,0,0.45,1.5,0,0,0,0,0.02,0.14
March,Week 9,Monday,T7 Group,Marketing,Reklama,02:00:00-26:00:00,16:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,Week 9,Monday,T7 Group,Marketing,Reklama,02:00:00-26:00:00,18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,Week 9,Monday,T7 Group,Marketing,Reklama,02:00:00-26:00:00,18:00:00,1.47,4.46,0.97,3.1,0.03,0.15,0,0,3.44,12.76,0.96,3.4,1.81,5.65,2.36,5.16,0.68,1.52,0.03,0.07,0,0,3.3,6.26,6.16,29.01,0.63,1.61,0,0,0,0,0,0
March,Week 9,Monday,T7 Group,Marketing,Reklama,02:00:00-26:00:00,19:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,Week 9,Monday,T7 Group,Marketing,Reklama,02:00:00-26:00:00,19:20:00,0.49,1.25,0.12,0.32,0.16,0.57,0.16,0.58,0.26,0.77,1.07,3.1,0.13,0.38,0.16,0.37,0,0,0,0,0,0,0,0,0,0,1.75,3.86,0,0,0,0,0,0
March,Week 9,Monday,T7 Group,Marketing,Reklama,02:00:00-26:00:00,20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
