Channel Group,Date,Day of week,Metrics,Time end,Time start,Values
A TV,5/3/2021,Friday,15-19 Yrs Rating%,5:00:00,4:30:00,0
A TV,5/3/2021,Friday,20- 24 Yrs Rating%,5:00:00,4:30:00,0
A TV,5/3/2021,Friday,25-34 Yrs Rating%,5:00:00,4:30:00,0
A TV,5/3/2021,Friday,35-44 Yrs Rating%,5:00:00,4:30:00,0
A TV,5/3/2021,Friday,45-54 Yrs Rating%,5:00:00,4:30:00,0
A TV,5/3/2021,Friday,55-64 Yrs Rating%,5:00:00,4:30:00,0
A TV,5/3/2021,Friday,65+ Rating%,5:00:00,4:30:00,0
A TV,5/3/2021,Friday,All target Rating%,5:00:00,4:30:00,0
A TV,5/3/2021,Friday,Female Rating%,5:00:00,4:30:00,0
A TV,5/3/2021,Friday,Ferizaj Region Rating%,5:00:00,4:30:00,0
A TV,5/3/2021,Friday,Gjakova Region Rating%,5:00:00,4:30:00,0
A TV,5/3/2021,Friday,Gjilan Region Rating%,5:00:00,4:30:00,0
A TV,5/3/2021,Friday,Male Rating%,5:00:00,4:30:00,0
A TV,5/3/2021,Friday,Mitrovica Region Rating%,5:00:00,4:30:00,0
A TV,5/3/2021,Friday,Peja Region Rating%,5:00:00,4:30:00,0
A TV,5/3/2021,Friday,Prishtina Region Rating%,5:00:00,4:30:00,0
A TV,5/3/2021,Friday,Prizren Region Rating%,5:00:00,4:30:00,0
A TV,5/3/2021,Friday,Rurall Rating%,5:00:00,4:30:00,0
A TV,5/3/2021,Friday,Urbann Rating%,5:00:00,4:30:00,0
A TV,5/3/2021,Friday,1-14 Yrs Rating%,5:30:00,5:00:00,0
A TV,5/3/2021,Friday,15-19 Yrs Rating%,5:30:00,5:00:00,0
A TV,5/3/2021,Friday,20- 24 Yrs Rating%,5:30:00,5:00:00,0
A TV,5/3/2021,Friday,25-34 Yrs Rating%,5:30:00,5:00:00,0
A TV,5/3/2021,Friday,35-44 Yrs Rating%,5:30:00,5:00:00,0
A TV,5/3/2021,Friday,45-54 Yrs Rating%,5:30:00,5:00:00,0
A TV,5/3/2021,Friday,55-64 Yrs Rating%,5:30:00,5:00:00,0
A TV,5/3/2021,Friday,65+ Rating%,5:30:00,5:00:00,0
A TV,5/3/2021,Friday,All target Rating%,5:30:00,5:00:00,0
A TV,5/3/2021,Friday,Female Rating%,5:30:00,5:00:00,0
A TV,5/3/2021,Friday,Ferizaj Region Rating%,5:30:00,5:00:00,0
A TV,5/3/2021,Friday,Gjakova Region Rating%,5:30:00,5:00:00,0
A TV,5/3/2021,Friday,Gjilan Region Rating%,5:30:00,5:00:00,0
A TV,5/3/2021,Friday,Male Rating%,5:30:00,5:00:00,0
A TV,5/3/2021,Friday,Mitrovica Region Rating%,5:30:00,5:00:00,0
A TV,5/3/2021,Friday,Peja Region Rating%,5:30:00,5:00:00,0
A TV,5/3/2021,Friday,Prishtina Region Rating%,5:30:00,5:00:00,0
A TV,5/3/2021,Friday,Prizren Region Rating%,5:30:00,5:00:00,0
A TV,5/3/2021,Friday,Rurall Rating%,5:30:00,5:00:00,0
A TV,5/3/2021,Friday,Urbann Rating%,5:30:00,5:00:00,0
A TV,5/3/2021,Friday,1-14 Yrs Rating%,6:00:00,5:30:00,0
A TV,5/3/2021,Friday,15-19 Yrs Rating%,6:00:00,5:30:00,0
A TV,5/3/2021,Friday,20- 24 Yrs Rating%,6:00:00,5:30:00,0
A TV,5/3/2021,Friday,25-34 Yrs Rating%,6:00:00,5:30:00,0
A TV,5/3/2021,Friday,35-44 Yrs Rating%,6:00:00,5:30:00,0
A TV,5/3/2021,Friday,45-54 Yrs Rating%,6:00:00,5:30:00,0
A TV,5/3/2021,Friday,55-64 Yrs Rating%,6:00:00,5:30:00,0
A TV,5/3/2021,Friday,65+ Rating%,6:00:00,5:30:00,0
A TV,5/3/2021,Friday,All target Rating%,6:00:00,5:30:00,0
A TV,5/3/2021,Friday,Female Rating%,6:00:00,5:30:00,0
A TV,5/3/2021,Friday,Ferizaj Region Rating%,6:00:00,5:30:00,0
A TV,5/3/2021,Friday,Gjakova Region Rating%,6:00:00,5:30:00,0
A TV,5/3/2021,Friday,Gjilan Region Rating%,6:00:00,5:30:00,0
A TV,5/3/2021,Friday,Male Rating%,6:00:00,5:30:00,0
A TV,5/3/2021,Friday,Mitrovica Region Rating%,6:00:00,5:30:00,0
A TV,5/3/2021,Friday,Peja Region Rating%,6:00:00,5:30:00,0
A TV,5/3/2021,Friday,Prishtina Region Rating%,6:00:00,5:30:00,0
A TV,5/3/2021,Friday,Prizren Region Rating%,6:00:00,5:30:00,0
A TV,5/3/2021,Friday,Rurall Rating%,6:00:00,5:30:00,0
